Plant_Type,Soil_Moisture,Temperature,Humidity,Light_Lux,Status
Kacang Hijau,41.32,17.65,55.87,33791.15,COLD
Bayam,27.0,36.66,64.85,1749.12,HOT
Lidah Buaya,65.81,19.51,61.81,21635.32,NORMAL
Bayam,64.15,16.31,95.0,43845.95,COLD
Sirih Gading,74.63,26.74,72.19,30230.64,SQUINT
Bayam,39.46,32.33,73.19,8992.22,THIRSTY
Sirih Gading,69.86,23.37,71.13,35196.8,SQUINT
Kacang Hijau,86.14,31.89,45.29,43301.78,SQUINT
Bayam,40.6,27.3,74.13,49234.28,SQUINT
Kacang Hijau,67.87,38.54,46.49,18096.0,HOT
Bayam,13.98,28.28,25.33,29170.77,THIRSTY
Lidah Buaya,2.89,30.45,35.73,19754.43,THIRSTY
Lidah Buaya,71.26,26.39,41.08,25558.03,NORMAL
Lidah Buaya,68.27,39.27,48.75,27950.15,HOT
Lidah Buaya,11.22,32.24,75.75,41676.73,NORMAL
Bayam,83.14,34.33,29.3,13728.62,NORMAL
Sirih Gading,25.22,35.45,45.46,10185.87,HOT
Lidah Buaya,35.03,34.65,59.36,18592.47,NORMAL
Bayam,98.68,20.99,41.5,15300.31,SICK
Kacang Hijau,98.6,35.32,70.83,37668.91,HOT
Lidah Buaya,83.44,29.13,20.52,37625.93,SICK
Bayam,32.48,32.92,49.76,1268.57,THIRSTY
Bayam,66.05,36.75,49.86,30732.14,HOT
Lidah Buaya,40.63,37.21,10.0,1569.98,HOT
Kacang Hijau,72.0,20.73,76.96,32057.38,SQUINT
Lidah Buaya,84.25,20.46,63.52,5557.39,SICK
Bayam,25.85,17.83,89.74,14234.9,COLD
Bayam,97.4,27.63,52.83,45572.7,SICK
Sirih Gading,31.32,23.41,37.17,8942.05,NORMAL
Bayam,41.19,33.05,64.67,37320.96,SQUINT
Lidah Buaya,86.73,39.61,30.88,42437.62,HOT
Kacang Hijau,64.55,22.02,26.17,8855.53,NORMAL
Bayam,93.58,27.79,34.42,22895.96,NORMAL
Sirih Gading,84.34,31.85,47.63,38087.14,SQUINT
Lidah Buaya,53.91,16.61,83.95,9929.15,COLD
Sirih Gading,83.09,32.94,55.67,2079.8,NORMAL
Bayam,6.58,28.13,41.11,31108.35,THIRSTY
Sirih Gading,36.41,18.96,63.18,31969.32,SQUINT
Bayam,59.12,28.33,24.66,15739.28,NORMAL
Sirih Gading,54.13,28.93,69.23,16194.78,SQUINT
Lidah Buaya,10.81,31.53,52.76,32800.73,NORMAL
Lidah Buaya,45.91,29.53,20.82,39380.06,NORMAL
Lidah Buaya,87.14,24.89,86.04,25572.14,SICK
Sirih Gading,33.09,22.23,41.89,13489.8,NORMAL
Kacang Hijau,84.61,33.78,69.62,9140.67,NORMAL
Kacang Hijau,74.99,35.25,34.7,45652.07,HOT
Bayam,41.12,33.59,44.07,13439.85,NORMAL
Sirih Gading,0.39,16.3,41.0,49973.03,COLD
Bayam,97.95,25.17,38.08,39861.98,SICK
Kacang Hijau,82.25,21.05,75.9,40197.93,SQUINT
Kacang Hijau,31.8,35.19,67.45,5502.6,HOT
Sirih Gading,57.09,26.23,58.59,16621.33,SQUINT
Kacang Hijau,87.12,31.33,76.19,38303.24,SQUINT
Kacang Hijau,81.45,36.12,10.0,14092.74,HOT
Lidah Buaya,58.55,17.61,93.84,46722.78,COLD
Lidah Buaya,56.56,25.67,42.44,39119.15,NORMAL
Lidah Buaya,64.14,19.51,72.13,38706.73,NORMAL
Bayam,19.29,19.3,53.63,10194.32,THIRSTY
Sirih Gading,76.1,29.64,13.63,35650.71,SQUINT
Lidah Buaya,65.45,15.42,61.69,12717.98,COLD
Kacang Hijau,81.41,31.61,71.81,34256.72,SQUINT
Lidah Buaya,79.7,30.15,32.5,39919.81,NORMAL
Kacang Hijau,75.68,19.12,51.94,25969.29,SQUINT
Lidah Buaya,89.78,27.47,58.9,20072.55,SICK
Lidah Buaya,44.94,26.04,55.49,24659.78,NORMAL
Kacang Hijau,9.44,23.57,31.57,41575.92,THIRSTY
Bayam,70.5,16.2,61.76,11343.53,COLD
Bayam,66.43,26.45,27.05,10702.62,NORMAL
Kacang Hijau,52.1,28.5,73.69,31179.28,SQUINT
Bayam,49.33,31.48,13.82,14799.63,NORMAL
Sirih Gading,49.65,25.06,23.5,6165.92,NORMAL
Bayam,5.6,24.69,63.38,25323.06,THIRSTY
Bayam,71.62,15.8,76.66,20837.45,COLD
Bayam,47.11,35.58,10.0,19897.65,HOT
Sirih Gading,44.27,15.98,79.37,47445.81,COLD
Kacang Hijau,17.25,28.31,22.27,28398.71,THIRSTY
Bayam,90.14,20.73,42.63,41695.83,SQUINT
Sirih Gading,35.87,20.11,71.22,49782.26,SQUINT
Kacang Hijau,44.02,34.72,41.64,7372.63,NORMAL
Lidah Buaya,46.38,16.42,59.07,30456.03,COLD
Sirih Gading,45.53,32.66,63.3,34903.72,SQUINT
Bayam,64.16,22.31,69.94,10474.31,NORMAL
Lidah Buaya,36.18,27.66,50.33,49708.69,SQUINT
Sirih Gading,12.65,18.42,65.34,23831.02,THIRSTY
Lidah Buaya,16.11,24.49,65.47,49022.44,SQUINT
Bayam,72.37,27.92,58.3,1251.26,GLOOMY
Bayam,5.17,29.52,57.01,10551.92,THIRSTY
Bayam,56.82,33.97,19.9,40710.54,SQUINT
Kacang Hijau,59.35,31.55,54.54,812.17,NORMAL
Kacang Hijau,80.94,23.99,42.07,40505.67,SQUINT
Lidah Buaya,80.75,21.12,32.82,6761.99,SICK
Bayam,50.51,37.76,20.04,47934.53,HOT
Sirih Gading,71.8,36.7,43.27,18602.18,HOT
Bayam,47.52,29.3,76.16,47255.88,SQUINT
Lidah Buaya,35.61,25.18,65.27,48188.38,SQUINT
Bayam,58.9,22.81,35.49,12712.62,NORMAL
Sirih Gading,64.6,29.78,48.1,48644.72,SQUINT
Sirih Gading,26.36,23.52,92.05,13956.52,NORMAL
Lidah Buaya,38.13,31.11,75.12,38259.51,NORMAL
Bayam,19.23,37.97,28.58,13536.14,HOT
Bayam,77.42,19.26,53.28,1521.12,NORMAL
Bayam,92.66,25.75,19.65,30165.39,NORMAL
Kacang Hijau,95.22,34.52,46.59,2121.11,SICK
Lidah Buaya,36.89,19.24,85.86,14690.1,NORMAL
Lidah Buaya,93.84,27.46,44.07,25520.23,SICK
Kacang Hijau,67.8,35.62,28.42,28286.6,HOT
Lidah Buaya,32.46,24.74,56.69,31134.39,NORMAL
Sirih Gading,49.46,33.91,62.23,44737.38,SQUINT
Bayam,42.61,16.52,49.32,36528.31,COLD
Kacang Hijau,73.28,27.65,74.88,27111.86,SQUINT
Bayam,24.38,32.96,15.84,14893.82,THIRSTY
Lidah Buaya,48.62,38.66,10.0,29856.22,HOT
Bayam,41.84,37.89,10.0,17228.1,HOT
Sirih Gading,13.35,23.76,53.52,2397.89,THIRSTY
Sirih Gading,80.78,35.46,16.33,34643.92,HOT
Sirih Gading,47.44,29.21,32.92,16688.83,SQUINT
Kacang Hijau,57.16,20.51,70.53,9241.92,NORMAL
Kacang Hijau,39.78,17.96,50.78,45976.55,COLD
Lidah Buaya,11.49,33.41,75.13,29036.24,NORMAL
Lidah Buaya,38.42,34.2,20.76,27200.61,NORMAL
Bayam,4.24,25.51,26.15,33697.22,THIRSTY
Kacang Hijau,70.74,33.92,37.58,19461.52,NORMAL
Bayam,24.41,17.64,95.0,9927.62,COLD
Lidah Buaya,35.86,32.9,65.0,8385.14,NORMAL
Kacang Hijau,58.56,17.7,64.44,27068.72,COLD
Kacang Hijau,98.13,34.09,13.98,19080.82,SICK
Sirih Gading,11.89,19.06,95.0,747.5,THIRSTY
Kacang Hijau,5.02,34.86,54.7,3645.09,THIRSTY
Lidah Buaya,73.37,30.74,57.6,44856.52,NORMAL
Bayam,97.6,15.71,77.99,16560.69,COLD
Lidah Buaya,20.64,38.56,27.54,27545.63,HOT
Sirih Gading,55.28,38.01,10.0,37033.18,HOT
Kacang Hijau,4.52,17.21,45.4,16266.52,COLD
Sirih Gading,72.49,35.26,52.89,34905.85,HOT
Sirih Gading,94.5,28.51,46.8,33680.49,SICK
Kacang Hijau,58.34,19.54,91.78,20042.57,NORMAL
Sirih Gading,17.86,16.01,47.57,16887.4,COLD
Kacang Hijau,11.15,24.19,25.27,25793.1,THIRSTY
Kacang Hijau,63.62,31.06,40.39,39282.58,SQUINT
Bayam,24.15,15.05,59.48,3115.89,COLD
Lidah Buaya,34.25,26.88,44.38,1092.57,GLOOMY
Sirih Gading,92.15,37.83,56.6,48925.3,HOT
Sirih Gading,54.64,37.82,43.5,12487.21,HOT
Bayam,16.57,19.61,59.1,49102.23,THIRSTY
Bayam,92.76,39.53,34.48,20366.75,HOT
Kacang Hijau,37.05,19.61,42.73,24226.15,NORMAL
Lidah Buaya,29.29,19.01,91.6,36556.56,NORMAL
Bayam,90.69,32.57,11.59,24223.64,NORMAL
Sirih Gading,57.98,30.63,77.79,27010.86,SQUINT
Lidah Buaya,32.29,33.42,70.14,4407.73,NORMAL
Kacang Hijau,63.35,24.19,65.47,26788.73,SQUINT
Lidah Buaya,26.49,23.13,39.11,11063.5,NORMAL
Kacang Hijau,39.36,32.29,76.66,6535.87,NORMAL
Kacang Hijau,33.66,28.31,18.66,6720.73,NORMAL
Bayam,0.41,22.4,84.86,1051.24,THIRSTY
Kacang Hijau,98.5,20.97,57.63,38600.62,SICK
Sirih Gading,25.28,38.35,12.83,20331.83,HOT
Bayam,41.42,30.99,57.48,2227.83,NORMAL
Lidah Buaya,98.36,32.05,40.19,28453.66,SICK
Bayam,28.25,19.67,65.93,16173.37,THIRSTY
Bayam,90.67,19.25,36.07,49882.52,SQUINT
Kacang Hijau,37.55,31.21,15.88,40190.73,SQUINT
Sirih Gading,91.46,24.7,27.14,4551.82,SICK
Sirih Gading,19.37,22.91,91.26,17291.43,THIRSTY
Lidah Buaya,59.42,23.53,89.86,40057.78,NORMAL
Sirih Gading,72.96,35.3,54.88,5012.07,HOT
Bayam,13.81,22.42,34.54,6614.19,THIRSTY
Bayam,47.58,24.28,69.91,41805.64,SQUINT
Sirih Gading,33.08,23.45,55.22,37747.01,SQUINT
Lidah Buaya,39.8,16.16,44.36,11496.26,COLD
Sirih Gading,53.81,35.29,10.0,3527.5,HOT
Sirih Gading,87.13,21.7,67.24,49945.23,SQUINT
Bayam,52.37,35.66,35.66,49122.37,HOT
Kacang Hijau,44.64,22.66,78.74,39919.02,SQUINT
Sirih Gading,87.63,32.38,37.59,14898.99,NORMAL
Sirih Gading,93.87,33.23,68.89,40254.67,SICK
Bayam,75.11,17.76,95.0,29488.98,COLD
Bayam,29.03,16.78,71.37,41402.75,COLD
Lidah Buaya,58.93,25.9,37.81,7105.35,NORMAL
Kacang Hijau,90.93,19.97,82.39,18511.61,SICK
Bayam,74.55,22.36,77.39,12291.36,NORMAL
Bayam,61.22,35.86,28.96,7644.36,HOT
Bayam,46.79,26.19,82.41,13752.01,NORMAL
Lidah Buaya,59.29,26.43,45.87,24563.38,NORMAL
Lidah Buaya,74.6,33.26,65.61,31534.36,NORMAL
Sirih Gading,48.43,29.7,52.9,27498.95,SQUINT
Kacang Hijau,35.92,26.13,54.34,29647.54,SQUINT
Kacang Hijau,67.29,33.32,49.99,4057.46,NORMAL
Kacang Hijau,84.59,31.46,63.93,30680.21,SQUINT
Sirih Gading,85.97,32.78,11.97,22912.67,SQUINT
Bayam,55.46,35.15,35.42,39991.47,HOT
Sirih Gading,42.78,32.32,10.0,9874.31,NORMAL
Sirih Gading,54.49,20.2,62.49,14175.36,NORMAL
Lidah Buaya,11.04,27.24,65.39,22057.44,NORMAL
Lidah Buaya,88.96,19.07,43.04,45584.15,SICK
Sirih Gading,48.86,37.53,53.75,30161.11,HOT
Bayam,14.95,37.29,13.18,28845.48,HOT
Bayam,68.82,22.75,86.38,49298.72,SQUINT
Lidah Buaya,85.92,21.38,70.11,45849.17,SICK
Lidah Buaya,70.62,32.47,75.63,49695.6,SQUINT
Kacang Hijau,85.72,34.83,27.43,45307.16,SQUINT
Sirih Gading,44.85,27.74,42.48,49032.41,SQUINT
Kacang Hijau,47.43,34.82,10.1,28033.91,SQUINT
Lidah Buaya,59.65,32.5,75.86,31815.13,NORMAL
Sirih Gading,25.28,36.87,53.82,3364.23,HOT
Bayam,79.75,34.4,43.35,29790.38,NORMAL
Bayam,90.49,32.96,35.5,28000.2,NORMAL
Sirih Gading,47.57,27.35,71.89,26831.16,SQUINT
Bayam,19.58,16.88,37.31,24262.66,COLD
Kacang Hijau,3.24,29.87,64.41,32935.88,THIRSTY
Sirih Gading,4.23,19.98,49.06,31676.76,THIRSTY
Lidah Buaya,61.44,39.98,49.95,21162.96,HOT
Kacang Hijau,48.89,26.1,62.18,20088.94,NORMAL
Bayam,90.89,32.61,15.52,10751.13,NORMAL
Kacang Hijau,35.6,25.49,36.61,37892.31,SQUINT
Bayam,64.66,16.99,60.14,17535.93,COLD
Sirih Gading,60.65,35.01,36.98,30212.98,HOT
Lidah Buaya,36.8,19.11,92.81,33530.29,NORMAL
Sirih Gading,68.83,20.01,42.26,10986.14,NORMAL
Sirih Gading,95.23,37.87,24.17,26652.76,HOT
Kacang Hijau,56.73,32.73,15.89,12828.14,NORMAL
Bayam,34.24,39.33,61.02,49909.89,HOT
Kacang Hijau,39.22,23.76,63.15,21873.75,NORMAL
Sirih Gading,37.73,26.18,85.81,12911.34,NORMAL
Lidah Buaya,99.19,31.29,46.74,2731.08,SICK
Sirih Gading,91.38,26.99,42.73,18414.77,SICK
Kacang Hijau,4.57,23.65,65.49,43576.84,THIRSTY
Bayam,68.3,19.44,31.92,12553.95,NORMAL
Kacang Hijau,7.62,27.52,63.8,13735.19,THIRSTY
Kacang Hijau,88.71,33.15,70.57,38993.78,SQUINT
Bayam,96.5,31.97,60.3,13019.87,SICK
Kacang Hijau,65.52,34.11,35.01,13011.83,NORMAL
Bayam,65.09,29.37,75.73,23762.33,NORMAL
Bayam,53.12,34.52,75.12,34138.98,NORMAL
Bayam,34.01,28.04,69.98,8935.31,THIRSTY
Kacang Hijau,49.83,21.75,82.64,3852.91,NORMAL
Lidah Buaya,61.05,39.97,11.24,21006.4,HOT
Bayam,42.49,20.66,59.31,14444.36,NORMAL
Sirih Gading,7.01,35.52,23.92,2831.28,HOT
Bayam,87.49,39.05,53.5,35326.48,HOT
Bayam,92.41,30.21,30.0,38765.79,SQUINT
Sirih Gading,73.96,37.04,67.87,4330.99,HOT
Sirih Gading,15.72,36.53,42.32,34531.14,HOT
Bayam,54.1,30.39,56.27,46363.28,SQUINT
Sirih Gading,13.84,19.65,36.82,37408.09,THIRSTY
Bayam,98.6,15.62,62.03,5034.68,COLD
Bayam,38.16,39.9,20.71,30901.88,HOT
Sirih Gading,0.92,16.38,46.79,31362.92,COLD
Sirih Gading,55.91,27.37,22.47,25139.17,SQUINT
Bayam,91.18,24.25,41.06,37546.42,SQUINT
Lidah Buaya,62.76,20.74,37.44,45041.85,NORMAL
Lidah Buaya,85.38,34.73,27.6,40131.52,SICK
Bayam,77.41,16.5,66.91,7558.1,COLD
Kacang Hijau,25.93,26.01,39.65,9731.19,THIRSTY
Sirih Gading,45.96,39.04,55.45,11180.13,HOT
Bayam,79.88,25.39,70.39,47259.49,SQUINT
Lidah Buaya,20.22,35.45,68.22,27147.5,HOT
Lidah Buaya,9.21,15.42,44.98,11987.21,COLD
Bayam,54.56,34.97,19.79,8992.41,NORMAL
Bayam,84.95,39.9,10.0,24991.11,HOT
Kacang Hijau,81.49,21.62,71.41,38901.26,SQUINT
Kacang Hijau,67.96,34.8,52.64,47296.23,SQUINT
Bayam,44.15,32.54,77.74,25909.25,NORMAL
Lidah Buaya,20.79,17.77,51.07,19828.19,COLD
Kacang Hijau,77.95,35.58,43.06,810.02,HOT
Kacang Hijau,34.59,33.57,36.93,18551.94,NORMAL
Lidah Buaya,71.01,32.47,78.75,38084.07,NORMAL
Lidah Buaya,20.83,38.94,31.2,35349.85,HOT
Bayam,7.18,23.03,30.16,4713.8,THIRSTY
Sirih Gading,55.46,24.13,80.21,45081.56,SQUINT
Kacang Hijau,45.48,29.83,16.49,33739.32,SQUINT
Kacang Hijau,14.41,29.52,48.61,31199.92,THIRSTY
Bayam,44.61,25.8,56.51,28240.92,NORMAL
Bayam,89.82,16.71,33.32,29066.96,COLD
Sirih Gading,87.92,26.39,20.08,650.51,NORMAL
Bayam,10.82,32.71,13.19,25443.81,THIRSTY
Sirih Gading,95.06,27.13,74.91,31712.63,SICK
Lidah Buaya,70.76,22.99,29.55,36700.21,NORMAL
Kacang Hijau,38.1,26.0,63.58,2728.27,NORMAL
Bayam,73.98,30.51,49.83,35296.83,SQUINT
Lidah Buaya,54.7,18.2,54.9,26644.28,NORMAL
Sirih Gading,0.56,37.48,44.94,9315.84,HOT
Bayam,83.55,15.45,84.89,19957.08,COLD
Bayam,21.72,31.95,57.49,49212.49,THIRSTY
Sirih Gading,6.66,33.74,16.4,48803.98,THIRSTY
Bayam,39.34,33.47,22.1,3206.76,THIRSTY
Sirih Gading,50.29,39.14,62.9,39755.51,HOT
Lidah Buaya,19.6,30.21,46.59,49787.41,SQUINT
Lidah Buaya,35.99,28.48,41.38,23197.33,NORMAL
Bayam,99.34,28.73,64.94,6578.54,SICK
Sirih Gading,67.3,35.3,65.25,2348.22,HOT
Sirih Gading,73.23,28.84,83.28,38847.32,SQUINT
Lidah Buaya,36.52,33.23,10.15,23958.47,NORMAL
Lidah Buaya,20.19,27.63,25.65,20408.23,NORMAL
Bayam,42.08,30.4,32.37,35334.72,SQUINT
Kacang Hijau,44.25,32.64,38.48,32466.12,SQUINT
Sirih Gading,4.52,35.85,11.98,21894.99,HOT
Kacang Hijau,11.96,37.18,34.78,35662.24,HOT
Lidah Buaya,57.81,34.73,42.71,2629.34,NORMAL
Lidah Buaya,43.84,37.35,62.08,19057.17,HOT
Sirih Gading,45.73,38.9,63.78,42309.69,HOT
Sirih Gading,89.73,23.53,78.44,25910.92,SQUINT
Bayam,26.11,34.3,71.0,16742.85,THIRSTY
Sirih Gading,19.65,28.38,59.4,10587.29,THIRSTY
Lidah Buaya,44.5,36.72,64.22,25383.0,HOT
Kacang Hijau,33.54,25.39,21.1,8854.11,NORMAL
Lidah Buaya,64.88,20.3,63.56,15758.93,NORMAL
Sirih Gading,61.42,17.81,51.18,40216.02,COLD
Bayam,54.19,30.56,33.71,4562.24,NORMAL
Sirih Gading,73.45,38.2,31.99,18358.69,HOT
Lidah Buaya,4.48,27.85,44.16,47874.58,THIRSTY
Sirih Gading,44.85,23.08,45.19,31312.24,SQUINT
Sirih Gading,91.71,31.23,35.18,6698.74,SICK
Bayam,30.98,39.2,58.01,9810.78,HOT
Bayam,14.21,18.16,69.85,35239.79,THIRSTY
Lidah Buaya,66.7,32.08,43.09,3989.85,NORMAL
Lidah Buaya,99.41,38.3,44.01,26867.82,HOT
Sirih Gading,17.17,33.28,24.54,26491.69,THIRSTY
Kacang Hijau,1.47,21.69,83.45,18954.7,THIRSTY
Sirih Gading,28.73,29.75,26.92,8094.78,NORMAL
Kacang Hijau,1.81,27.65,58.83,43606.2,THIRSTY
Lidah Buaya,83.17,24.2,68.19,42631.12,SICK
Sirih Gading,18.07,38.59,55.9,20328.39,HOT
Bayam,66.83,32.58,22.8,9123.82,NORMAL
Bayam,38.76,20.68,88.66,28811.47,THIRSTY
Lidah Buaya,73.7,26.63,66.63,33112.38,NORMAL
Sirih Gading,83.63,30.49,58.21,10773.15,NORMAL
Bayam,35.51,39.89,10.0,14051.4,HOT
Bayam,1.36,17.01,71.31,20594.91,COLD
Bayam,54.37,37.86,36.14,23582.64,HOT
Bayam,24.23,31.36,16.07,38683.97,THIRSTY
Bayam,62.81,27.61,80.23,42016.81,SQUINT
Kacang Hijau,17.48,30.16,65.8,25128.3,THIRSTY
Kacang Hijau,58.66,30.6,43.23,8400.71,NORMAL
Lidah Buaya,25.27,22.55,28.37,9892.73,NORMAL
Lidah Buaya,53.4,35.68,51.96,11847.82,HOT
Lidah Buaya,94.14,37.54,35.87,44593.41,HOT
Sirih Gading,7.36,33.73,74.43,2671.73,THIRSTY
Lidah Buaya,82.46,37.66,60.55,37248.26,HOT
Kacang Hijau,43.38,34.72,67.85,45497.16,SQUINT
Kacang Hijau,5.2,15.79,95.0,27064.82,COLD
Lidah Buaya,80.99,15.58,95.0,37557.69,COLD
Sirih Gading,85.34,19.07,85.76,45717.02,SQUINT
Bayam,25.7,25.79,63.19,2609.25,THIRSTY
Lidah Buaya,83.08,31.24,73.72,46923.32,SICK
Sirih Gading,78.01,20.84,54.91,38561.24,SQUINT
Kacang Hijau,98.57,18.62,63.83,12102.76,SICK
Bayam,39.88,37.89,35.52,37519.45,HOT
Sirih Gading,53.64,31.27,18.73,21857.41,SQUINT
Kacang Hijau,82.57,20.47,39.6,14285.38,NORMAL
Kacang Hijau,20.03,38.32,38.12,30839.18,HOT
Kacang Hijau,37.35,35.37,47.28,12766.82,HOT
Bayam,84.87,36.4,19.05,6959.83,HOT
Sirih Gading,9.09,22.75,29.39,46161.19,THIRSTY
Bayam,54.72,24.42,64.84,11558.79,NORMAL
Lidah Buaya,32.79,23.99,80.8,35097.24,NORMAL
Bayam,62.65,17.41,72.64,26903.98,COLD
Sirih Gading,31.17,38.21,45.06,26265.91,HOT
Sirih Gading,94.5,32.37,39.85,7080.57,SICK
Lidah Buaya,35.02,35.92,53.79,36715.48,HOT
Bayam,96.73,29.54,22.31,40570.38,SICK
Sirih Gading,76.62,23.23,71.18,15204.73,SQUINT
Bayam,88.27,38.88,12.69,40473.66,HOT
Bayam,4.98,33.71,70.08,26205.58,THIRSTY
Kacang Hijau,87.18,18.97,90.71,1462.36,NORMAL
Sirih Gading,29.19,20.01,42.55,8637.87,NORMAL
Sirih Gading,85.33,38.51,17.98,43174.57,HOT
Lidah Buaya,78.39,21.61,39.78,34293.62,NORMAL
Kacang Hijau,70.49,25.94,35.04,40856.41,SQUINT
Bayam,67.42,33.17,70.39,10223.34,NORMAL
Kacang Hijau,7.18,29.65,56.76,34130.86,THIRSTY
Lidah Buaya,16.92,29.55,68.21,5427.77,NORMAL
Kacang Hijau,56.39,37.26,41.99,25013.93,HOT
Kacang Hijau,43.9,34.88,24.14,3922.82,NORMAL
Sirih Gading,47.42,19.6,81.05,11289.48,NORMAL
Lidah Buaya,10.64,30.25,76.59,10547.64,NORMAL
Lidah Buaya,22.73,17.28,61.86,12711.25,COLD
Kacang Hijau,19.9,31.79,54.08,20916.69,THIRSTY
Lidah Buaya,8.83,25.33,48.92,10097.04,NORMAL
Sirih Gading,48.5,21.81,85.79,15278.82,SQUINT
Sirih Gading,32.43,29.41,68.83,35808.23,SQUINT
Kacang Hijau,24.84,33.47,10.0,10720.32,THIRSTY
Kacang Hijau,46.77,36.65,22.78,30969.5,HOT
Kacang Hijau,66.02,28.73,64.43,13996.69,NORMAL
Bayam,50.26,27.63,61.39,24590.57,NORMAL
Lidah Buaya,61.14,38.38,39.5,3446.64,HOT
Sirih Gading,87.83,20.13,61.4,26362.76,SQUINT
Lidah Buaya,86.79,19.26,88.26,33694.93,SICK
Sirih Gading,78.08,34.78,46.02,9588.67,NORMAL
Sirih Gading,54.96,16.35,64.98,44390.88,COLD
Lidah Buaya,34.89,17.55,35.57,40236.85,COLD
